number,name,votes,electronic,abroad,mandate,district,party
537,Heiki Hanso,355,189,1,#N/A,5,Sotsiaaldemokraatlik Erakond
1000,Eve East,355,109,0,#N/A,7,Eesti Keskerakond
330,Reno Laidre,354,249,0,#N/A,10,Eesti Reformierakond
676,Argo Luude,353,144,2,#N/A,1,Eesti Konservatiivne Rahvaerakond
594,Kalev Kaljuste,352,148,0,#N/A,12,Sotsiaaldemokraatlik Erakond
952,Andra Veidemann,350,125,0,#N/A,3,Eesti Keskerakond
939,Imre Sooäär,349,124,1,#N/A,2,Eesti Keskerakond
262,Art Kuum,344,220,0,#N/A,3,Eesti Reformierakond
1140,Priit Värk,341,150,5,#N/A,8,Isamaa Erakond
1091,Trivimi Velliste,340,180,5,#N/A,3,Isamaa Erakond
932,Jaanus Riibe,336,79,0,#N/A,1,Eesti Keskerakond
1028,Irina Panova,335,44,0,#N/A,10,Eesti Keskerakond
287,Tiiu Aro,331,174,2,#N/A,5,Eesti Reformierakond
539,Ene Augasmägi,329,148,2,#N/A,6,Sotsiaaldemokraatlik Erakond
1034,Andre Laine,326,129,0,#N/A,11,Eesti Keskerakond
767,Aivar Õun,325,118,1,#N/A,9,Eesti Konservatiivne Rahvaerakond
1037,Ülle Juht,325,80,3,#N/A,11,Eesti Keskerakond
231,Merike Lang,321,217,1,#N/A,1,Eesti Reformierakond
412,Aleksei Lotman,320,199,1,#N/A,5,Erakond Eestimaa Rohelised
657,Mart Jüssi,320,199,0,#N/A,10,Elurikkuse Erakond
740,Tanel Tarkmees,317,125,3,#N/A,6,Eesti Konservatiivne Rahvaerakond
